name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Vandsø,0,0,0,0,0,23,0,0,0,0,0,31
Taarsted,0,0,0,0,0,23,0,0,0,0,0,31
Dalegaard,0,0,0,0,0,22,0,0,0,0,0,31
Skeldal,0,0,0,0,0,21,0,6,0,0,0,31
Bjærge,0,0,0,0,0,20,0,0,0,0,0,31
Stoffer,0,0,0,0,0,17,0,0,5,0,0,31
Schouenborg,0,0,0,0,0,16,5,0,0,0,0,31
Møgelbjerg,0,0,0,0,0,14,0,8,0,0,0,31
Kousholt,0,0,0,0,0,14,7,0,0,0,0,31
Viese,0,0,0,0,0,14,11,0,0,0,0,31
Ørskou,0,0,0,0,0,13,0,11,0,0,0,31
Søjberg,0,0,0,0,0,13,0,9,0,0,0,31
Kodal,0,0,0,0,0,11,9,8,0,0,0,31
Hundevadt,0,0,0,0,0,11,0,10,6,0,0,31
Sangild,0,0,0,0,0,10,0,17,0,0,0,31
Haulrik,0,0,0,0,0,10,0,19,0,0,0,31
Damholdt,0,0,0,0,0,8,0,20,0,0,0,31
Weiland,0,0,0,0,0,7,0,0,14,0,0,31
Trudsø,0,0,0,0,0,5,0,18,0,0,0,31
Uldbæk,0,0,0,0,0,0,0,29,0,0,0,31
Gammelager,0,0,0,0,0,0,0,27,0,0,0,31
Ekknud,0,0,0,0,0,0,0,24,0,0,0,31
Sølbæk,0,0,0,0,0,0,0,21,0,0,0,31
Askou,0,0,0,0,0,0,0,17,0,0,0,31
Mikaelsen,0,0,0,0,0,0,0,5,0,0,14,31
Kryhlmand,0,0,0,0,0,0,0,0,21,0,0,31
Pavia,0,0,0,0,0,0,0,0,0,0,31,31
Olov,0,0,0,0,0,0,0,0,0,0,26,31
Burhøj,23,0,0,0,0,0,0,0,0,0,0,30
Binne,23,0,0,0,0,0,0,0,0,0,0,30
Billing,20,0,0,0,0,0,0,0,0,0,0,30
Rudkjær,20,0,0,0,0,0,0,0,0,0,0,30
Vitalis,19,0,0,0,0,0,0,0,0,0,0,30
Spenner,19,0,0,0,0,0,0,0,0,0,0,30
Rosenby,19,6,0,0,0,0,0,0,0,0,0,30
Ramm,18,0,0,0,0,0,0,0,0,0,0,30
Klinker,17,8,0,0,0,5,0,0,0,0,0,30
Sprogøe,16,0,0,0,0,5,0,0,0,0,0,30
Beicker,15,13,0,0,0,0,0,0,0,0,0,30
Arge,15,0,0,0,0,0,0,0,0,0,0,30
Saxild,14,7,0,0,0,0,0,0,0,0,0,30
Stormly,14,6,0,0,0,8,0,0,0,0,0,30
Rieland,14,0,0,0,0,6,0,0,0,0,0,30
Tvermose,14,0,0,0,0,0,0,7,0,0,0,30
Trudsøe,14,0,0,5,10,0,0,0,0,0,0,30
Vogel,14,7,0,0,0,8,0,0,0,0,0,30
Rebien,13,12,0,0,0,0,0,0,0,0,0,30
Gether,13,0,0,0,0,10,0,0,0,0,0,30
Rubeck,13,0,0,0,0,0,9,0,0,0,0,30
Wadum,13,0,0,0,0,0,0,8,0,0,0,30
Helsengren,13,5,0,0,11,0,0,0,0,0,0,30
Kümmel,12,12,0,0,0,5,0,0,0,0,0,30
Treu,12,14,0,0,0,0,0,0,0,0,0,30
Zachariassen,12,0,0,0,0,5,0,0,0,0,0,30
Hundborg,11,0,0,0,0,16,0,0,0,0,0,30
Schiøtz,11,5,0,0,5,0,0,0,0,0,0,30
Oudal,11,0,0,0,0,17,0,0,0,0,0,30
Toftedal,11,15,0,0,0,0,0,0,0,0,0,30
Wolfsberg,11,10,0,0,0,0,0,0,0,0,0,30
Bernstorf,11,0,0,0,0,10,0,0,0,0,0,30
Ekdahl,11,0,0,0,0,7,0,0,0,0,0,30
Damberg,10,0,0,0,5,7,0,0,0,0,0,30
Bargsteen,10,5,0,0,0,6,0,5,0,0,0,30
Knoblauch,10,7,0,0,0,10,0,0,0,0,0,30
Svaneberg,10,0,0,0,19,0,0,0,0,0,0,30
Skree,10,0,0,0,0,10,0,5,0,0,0,30
Fattah,10,0,0,0,0,0,0,0,0,0,19,30
Sandorff,10,6,0,0,0,6,0,0,0,0,0,30
Toftum,9,0,0,0,0,5,0,10,0,0,0,30
Balch,9,0,0,14,0,0,0,0,0,0,0,30
Pold,9,0,0,0,0,20,0,0,0,0,0,30
Ellebye,9,0,8,0,0,0,0,0,0,0,5,30
Meiniche,8,0,0,0,0,16,0,0,0,0,0,30
Bæhr,8,8,0,0,0,9,0,0,0,0,0,30
Waaben,8,5,0,0,6,8,0,0,0,0,0,30
Fredtoft,8,0,0,0,9,0,0,0,0,0,0,30
Mansfeldt,8,14,0,0,5,0,0,0,0,0,0,30
Nørdam,8,0,0,0,0,16,0,0,0,0,0,30
Høck,8,0,0,0,0,5,0,0,11,0,0,30
Thurøe,8,0,0,0,15,0,0,0,0,0,0,30
Gunge,8,0,0,0,0,8,0,0,5,0,0,30
